Ranking,Universidade,Pais,Nota
1,Pontificia Universidad Católica de Chile,Chile,100.0
2,Universidade de São Paulo (USP),Brasil,98.9
3,Universidade Estadual de Campinas (Unicamp),Brasil,97.1
4,Universidade Federal do Rio de Janeiro (UFRJ),Brasil,95.5
5,Universidad de Los Andes Colombia,Colômbia,94.7
6,Universidad de Chile,Chile,94.1
7,Tecnológico de Monterrey (ITESM),México,91.4
8,Universidad Nacional Autónoma de México (UNAM),México,91.0
9,Universidade Estadual Paulista “Júlio de Mesquita Filho” (UNESP),Brasil,90.3
10,Universidade Federal de Minas Gerais (UFMG),Brasil,87.3
10,Universidade Federal do Rio Grande Do Sul (UFRGS),Brasil,87.3
12,Universidad de Concepción,Chile,86.1
13,Pontificia Universidade Católica do Rio de Janeiro (PUC – Rio),Brasil,85.4
14,Universidad Nacional de Colombia,Colômbia,84.6
15,Universidade Federal de São Paulo (UNIFESP),Brasil,84.2
16,Universidad de Santiago de Chile (USACH),Chile,84.1
17,Universidade de Brasilia (UnB),Brasil,82.2
18,Universidade Federal de São Carlos,Brasil,82.0
19,Universidad de Buenos Aires,Argentina,81.3
20,Universidad Austral – Argentina,Argentina,80.7
21,Universidad Nacional de La Plata,Argentina,79.2
22,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires – UCA,Argentina,78.9
23,Universidad de Antioquia,Colômbia,78.7
23,Universidad de Costa Rica,Costa Rica,78.7
25,Universidad Nacional de Córdoba,Argentina,78.5
26,Instituto Politécnico Nacional (IPN),México,78.0
27,Universidad Central de Venezuela (UCV),Venezuela,77.9
28,Universidad Iberoamericana (UIA),México,77.8
29,Pontificia Universidad Católica de Valparaíso,Chile,77.3
30,Pontificia Universidad Católica del Perú,Peru,76.9
31,Pontificia Universidad Javeriana,Colômbia,76.5
32,Universidad Simón Bolívar Venezuela,Venezuela,76.3
33,Pontificia Universidade Católica de São Paulo (PUC -SP),Brasil,75.6
34,Universidade do Estado do Rio de Janeiro (UERJ),Brasil,75.2
35,Universidad Autónoma Metropolitana (UAM),México,74.7
36,Instituto Tecnológico Autonomo de México (ITAM),México,73.8
37,Universidad Austral de Chile,Chile,72.6
38,Pontificia Universidade Católica do Rio Grande do Sul,Brasil,72.5
39,Universidad Técnica Federico Santa María,Chile,71.5
40,Universidade Federal do Paraná (UFPR),Brasil,71.2
41,Universidade Federal de Santa Catarina,Brasil,70.0
42,Universidad del Rosario,Colômbia,68.5
43,Universidade Federal do Pernambuco,Brasil,68.2
44,Universidad Torcuato Di Tella,Argentina,68.1
45,Instituto Tecnológico de Buenos Aires (ITBA),Argentina,66.6
46,Universidad de San Andrés,Argentina,66.4
46,Universidad Nacional de Rosario,Argentina,66.4
48,Universidad de Puerto Rico,Puerto Rico,66.3
49,Universidade Federal Fluminense,Brasil,66.0
50,Universidad de las Américas Puebla (UDLAP),México,65.6
